@RELATION codesnippets

@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  {text, sourcecode}

@DATA
1,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.333333333,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.333333333,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.428571429,0.142857143,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,1,0,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.666666667,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0.333333333,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.666666667,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0.333333333,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0.333333333,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0.076923077,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0.25,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
