,0,0,0,0,0,0,0,0,3,5,text
,0,0,0,0,0,1,9,5,1,58,text
,0,0,0,0,0,0,0,0,3,2,text
,2,0,0,0,0,0,0,0,2,3,text
,0,0,0,1,2,0,8,0,1,54,text
,0,0,0,0,0,0,0,0,2,1,text
,0,0,0,0,0,0,0,0,3,2,text
,0,0,1,0,0,0,9,3,1,59,text
,0,0,0,0,0,0,0,0,3,2,text
,0,0,2,0,2,0,24,12,1,152,text
,0,0,0,0,0,0,1,0,1,4,text
,1,0,0,1,1,0,11,5,1,62,text
,0,0,0,0,0,0,0,0,3,2,text
,2,0,0,0,0,0,0,0,2,3,text
,0,0,0,1,0,0,4,1,1,17,text
,0,0,0,0,0,0,0,0,1,1,text
,5,0,0,0,2,0,15,6,3,89,text
,0,0,0,0,0,0,0,0,2,1,text
,0,0,0,0,0,0,0,0,3,2,text
,0,0,0,0,0,0,23,11,1,144,text
,0,0,0,0,0,0,1,1,1,5,text
,1,0,0,1,0,0,6,3,1,37,text
,0,0,1,0,0,0,1,0,1,12,text
,1,0,0,1,0,0,7,4,1,30,text
,0,0,1,0,0,0,1,0,1,12,text
,1,0,0,0,0,0,4,3,1,28,text
