0,0.0,2,0,0,1,5,1,1,35,text
0,0.0,2,0,1,1,6,2,1,52,text
8,0.0,1,0,2,2,3,0,1,45,text
0,0.0,2,0,1,1,6,2,1,74,text
8,0.0,1,0,2,2,3,0,1,45,text
0,0.0,3,2,0,4,10,0,1,70,text
0,0.0,2,0,4,1,8,1,1,65,text
8,0.0,3,0,1,0,8,2,1,79,text
8,0.0,1,0,2,2,3,0,1,45,text
0,0.0,5,1,3,4,21,2,1,166,text
0,0.0,10,2,3,6,33,2,1,237,text
0,0.0,2,0,3,3,6,1,1,70,text
0,0.0,2,0,1,1,11,1,1,63,text
0,0.0,0,0,0,1,2,0,1,16,text
0,0.0,2,0,0,4,8,0,1,47,text
0,0.0,4,0,0,4,8,0,1,61,text
0,0.0,2,0,0,4,7,0,1,42,text
0,0.0,1,0,0,3,6,0,1,33,text
0,0.0,1,0,0,1,6,1,1,32,text
0,0.0,1,0,0,1,8,1,1,49,text
0,0.0,2,0,3,3,6,1,1,70,text
0,0.0,3,0,0,1,9,1,1,58,text
0,0.0,2,0,3,3,6,1,1,69,text
0,0.0,3,0,4,1,9,1,1,74,text
4,0.0,3,0,3,4,8,2,1,76,text
0,0.0,1,0,0,3,7,1,1,49,text
8,0.0,1,0,0,1,2,0,1,18,text
0,0.0,1,0,0,1,6,1,1,27,text
0,0.0,2,0,6,1,6,1,1,69,text
4,0.0,3,0,3,4,8,2,1,76,text
0,0.0,2,0,4,1,6,1,1,54,text
8,0.0,3,0,2,2,9,2,1,68,text
8,0.0,2,1,1,4,9,0,1,67,text
0,0.0,1,0,2,1,4,1,1,31,text
8,0.0,2,0,2,3,8,1,1,64,text
8,0.0,2,1,3,2,9,0,1,73,text
0,0.0,0,0,2,3,4,0,1,43,text
0,0.0,2,0,0,3,6,0,1,57,text
0,0.0,2,0,0,1,4,1,1,25,text
0,0.0,2,0,0,1,6,1,1,33,text
0,0.0,1,1,2,3,5,0,1,43,text
0,0.0,0,0,0,0,0,0,1,0,text
0,0.0,0,0,0,1,0,0,1,76,text
0,0.0,1,0,0,2,3,0,1,77,text
0,0.0,0,0,0,3,0,0,1,77,text
0,0.0,1,2,0,7,7,0,1,77,text
0,0.0,2,0,2,6,7,0,1,77,text
0,0.0,0,0,0,4,0,0,1,77,text
0,0.0,2,0,0,9,9,0,1,77,text
0,0.0,2,0,0,8,8,1,1,77,text
0,0.0,0,0,0,5,0,0,1,77,text
0,0.0,0,0,0,5,2,0,1,77,text
0,0.0,0,0,0,6,0,0,1,77,text
0,0.0,0,0,0,6,1,0,1,77,text
0,0.0,0,0,0,6,0,0,1,77,text
0,0.0,1,1,0,6,13,8,1,77,text
0,0.0,2,1,2,7,9,3,1,77,text
0,0.0,1,2,2,6,10,4,1,77,text
0,0.0,1,1,0,7,9,3,1,77,text
0,0.0,0,0,0,5,0,0,1,76,text
0,0.0,0,0,0,2,2,0,1,77,text
0,0.0,0,0,0,1,0,0,1,76,text
0,0.0,0,0,0,0,0,0,1,0,text
0,0.0,0,0,0,0,0,0,1,69,text
0,0.0,3,0,0,1,9,1,1,58,text
0,0.0,1,1,0,1,10,0,1,60,text
0,0.0,0,0,0,0,0,0,1,0,text
